Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,400,-0.29,0,0,0,0,0,0,0,0
0,0,500,3.19,0,0,0,0,0,0,0,0
0,0,600,3.49,0,0,0,0,0,0,0,0
0,0,700,4.26,0,0,0,0,0,0,0,0
0,0,800,7.219528014,-16.01128197,-141.1032715,2.25405097,-146.8039703,-24.98921394,0,7.329721042,144.4538422
0,0,801,7.214304877,-16.13330078,-141.0453186,2.246097326,-143.7759094,-24.97777557,0,7.321407064,142.9372559
0,0,802,7.208508546,-16.24724197,-140.988739,2.251927376,-140.7367706,-24.96645164,0,7.312803775,141.4194641
0,0,803,7.202165758,-16.347229,-140.9344177,2.289146185,-137.6853638,-24.95523453,0,7.304059174,139.9004059
0,0,804,7.195284176,-16.43441963,-140.8831635,2.358988285,-134.6261902,-24.94413567,0,7.295128876,138.3801422
0,0,805,7.187888629,-16.51078415,-140.834549,2.44202733,-131.5615387,-24.93314934,0,7.285973245,136.8586578
0,0,806,7.180148906,-16.58149147,-140.7876282,2.537478685,-128.4920807,-24.92212486,0,7.276631813,135.3359222
0,0,807,7.171962043,-16.64917374,-140.7411499,2.637928486,-125.4238129,-24.91118431,0,7.266936541,133.8119507
0,0,808,7.163303278,-16.71830177,-140.6941986,2.741183758,-122.3507462,-24.90037155,0,7.25676175,132.2867279
0,0,809,7.154239402,-16.7926712,-140.6460724,2.83767724,-119.279541,-24.8896389,0,7.246094198,130.7602386
0,0,810,7.144697968,-16.87734985,-140.5962524,2.920763969,-116.2048111,-24.87907791,0,7.234760609,129.2325134
0,0,811,7.134854487,-16.97678947,-140.5444641,2.983502626,-113.1266098,-24.86853218,0,7.222857611,127.7034836
0,0,812,7.124670843,-17.09495354,-140.4907532,3.006124973,-110.0387192,-24.85805893,0,7.210288394,126.1732407
0,0,813,7.114072684,-17.23380661,-140.4351959,2.986788034,-106.9447937,-24.84775162,0,7.19697028,124.6417007
0,0,814,7.103090559,-17.37914848,-140.3781281,2.772689342,-103.8415375,-24.8375988,0,7.183234464,123.1089401
0,0,815,7.091884719,-17.5129776,-140.3200836,2.727083206,-100.7144623,-24.82745934,0,7.169574744,121.5749054
0,0,816,7.080422771,-17.62618446,-140.262146,2.756301165,-97.54602814,-24.81738472,0,7.156096311,120.0396347
0,0,817,7.068800115,-17.72107124,-140.205719,2.812558174,-94.33987427,-24.80729866,0,7.142824215,118.5030746
0,0,818,7.056909972,-17.80170441,-140.1523743,2.892715693,-91.11243439,-24.79732704,0,7.129560932,116.9652786
0,0,819,7.04489161,-17.87321281,-140.10289,2.987025499,-87.87715912,-24.7873497,0,7.116346321,115.4262619
0,0,820,7.032819449,-17.93935394,-140.0571442,3.085355043,-84.63098145,-24.77731133,0,7.103185384,113.8860016
0,0,821,7.020632507,-18.00443268,-140.013382,3.186370611,-81.37099457,-24.76728439,0,7.089943478,112.3444672
0,0,822,7.008269894,-18.07203865,-139.970108,3.282243967,-78.09945679,-24.75731087,0,7.076501811,110.8016968
0,0,823,6.995800443,-18.1462574,-139.9260559,3.3705585,-74.81510162,-24.74729538,0,7.062867245,109.2576675
