Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,400,0.02,0,0,0,0,0,0,0,0
0,0,500,3.43,0,0,0,0,0,0,0,0
0,0,600,3.2,0,0,0,0,0,0,0,0
0,0,700,3.89,0,0,0,0,0,0,0,0
0,0,800,4.86688779,-17.35102081,46.9048233,4.527899742,-43.58732224,-24.69902229,0,4.947557308,108.584938
0,0,801,4.863545298,-17.44688225,46.76796341,4.574251652,-34.97857666,-24.68570328,0,4.942437619,107.0507126
0,0,802,4.859698278,-17.52940178,46.63035583,4.613866806,-26.32742119,-24.67243004,0,4.93709242,105.5152054
0,0,803,4.855415426,-17.6023674,46.49292374,4.648245335,-17.69641685,-24.65915298,0,4.931508772,103.9784622
0,0,804,4.850734924,-17.67034721,46.35648727,4.696278095,-9.028779984,-24.64585304,0,4.925636209,102.4404449
0,0,805,4.845521384,-17.73748589,46.2215004,4.745663643,-0.340377301,-24.63268471,0,4.919263845,100.9011612
0,0,806,4.840049498,-17.80775261,46.08816147,4.79858923,8.351657867,-24.6193924,0,4.912598502,99.36060333
0,0,807,4.834181971,-17.88618279,45.95659256,4.853096962,17.05801773,-24.60613251,0,4.905421848,97.81881714
0,0,808,4.827884504,-17.9767437,45.82675171,4.911850929,25.77182579,-24.59295845,0,4.897642367,96.27577209
0,0,809,4.82128683,-18.08516884,45.69825363,4.957603455,34.49621964,-24.5797596,0,4.889311149,94.73145294
0,0,810,4.814263096,-18.21356964,45.57056808,4.984856129,43.23606873,-24.56668091,0,4.880290548,93.18591309
0,0,811,4.80703459,-18.35526085,45.44274139,4.994664192,51.98707581,-24.5535202,0,4.870926949,91.63908386
0,0,812,4.799519327,-18.48950195,45.31335831,4.988997936,60.75045395,-24.54037857,0,4.86145304,90.09098053
0,0,813,4.791690638,-18.6029892,45.1810112,4.985282898,69.53247833,-24.52730179,0,4.852015752,88.54158783
0,0,814,4.783683977,-18.69578743,45.04472351,4.9947052,78.33276367,-24.51417351,0,4.842725055,86.99092865
0,0,815,4.775486026,-18.77171707,44.90520859,5.024552822,87.15180969,-24.50102615,0,4.833496968,85.43899536
0,0,816,4.767047225,-18.83572769,44.76384735,5.074801922,95.98178101,-24.48792839,0,4.824203806,83.88580322
0,0,817,4.758554528,-18.89220428,44.6219368,5.137182236,104.826004,-24.47471237,0,4.814967827,82.33130646
0,0,818,4.749805789,-18.94492912,44.48076248,5.206695557,113.6859436,-24.46159935,0,4.805533964,80.77555084
0,0,819,4.741056622,-18.99791718,44.34102249,5.278748035,122.5599289,-24.44835281,0,4.796104691,79.21852112
0,0,820,4.732158289,-19.05480766,44.20317459,5.344557285,131.4471893,-24.43514061,0,4.786485457,77.66020966
0,0,821,4.723183322,-19.11873436,44.06756973,5.402249813,140.3492126,-24.4219017,0,4.776711757,76.10063171
0,0,822,4.714116608,-19.19260216,43.93408585,5.444523811,149.2666931,-24.40863228,0,4.766736802,74.53981018
0,0,823,4.705005998,-19.27740669,43.80268097,5.463804245,158.1996155,-24.39525795,0,4.756602578,72.97773743
0,0,824,4.695670462,-19.3711586,43.67297363,5.465808392,167.1478119,-24.38193321,0,4.746158724,71.41439056
0,0,825,4.686140685,-19.4652462,43.54443741,5.468737602,176.1148834,-24.36860085,0,4.735540731,69.84977722
0,0,826,4.676477869,-19.55101967,43.41601944,5.460701942,-174.8968048,-24.35517311,0,4.724906426,68.28387451
0,0,827,4.666636406,-19.62340355,43.28598785,5.46616745,-165.8789673,-24.34166908,0,4.714260087,66.71669006
0,0,828,4.656580223,-19.68256187,43.15275955,5.485584259,-156.8341217,-24.3280983,0,4.703556089,65.14818573
0,0,829,4.646408668,-19.73008347,43.0150032,5.521651745,-147.7697449,-24.31433487,0,4.692870571,63.57839966
0,0,830,4.635864418,-19.76907158,42.87360001,5.572214603,-138.6880188,-24.30060959,0,4.681908873,62.00729752
0,0,831,4.625156646,-19.80322075,42.73033142,5.622879028,-129.5904694,-24.28670311,0,4.670838564,60.43488693
0,0,832,4.614266257,-19.83498764,42.58687592,5.6791749,-120.4813004,-24.27268982,0,4.659613506,58.86115646
0,0,833,4.603278261,-19.86761475,42.44443893,5.736295223,-111.3577576,-24.25855637,0,4.648284342,57.28610611
0,0,834,4.59231772,-19.90385818,42.30369568,5.790154457,-102.2177582,-24.24424934,0,4.636947843,55.70975876
0,0,835,4.581372366,-19.94646072,42.16527176,5.84747076,-93.06455994,-24.22985268,0,4.625564602,54.13209915
