Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Absolute Gain (dBi)
-180,0,1000,-15.67584509,-1.09419417,0,-9.153329429
-180,0,1015,-16.10299975,-0.934499657,0,-8.972073478
-180,0,1030,-16.28864436,-1.399634644,0,-10.68990915
-180,0,1045,-18.49553567,-3.003512441,0,-15.47843758
-180,0,1060,-15.59907958,-7.149570322,0,-14.66904411
-180,0,1075,-13.29309923,-3.462728224,0,-10.6925107
-180,0,1090,-13.70557603,-1.660767644,0,-8.726867647
-180,0,1105,-22.02525346,-1.534249746,0,-16.76180641
-180,0,1120,-18.0249944,-2.453125071,0,-14.37536855
-180,0,1135,-14.51615633,-5.954205453,0,-13.24440999
-180,0,1150,-14.58262376,-5.998156321,0,-13.32572935
-180,0,1165,-12.6684804,-2.614353518,0,-9.22248098
-180,0,1180,-13.57451282,-1.612284321,0,-8.489854772
-180,0,1195,-14.78027279,-1.452322748,0,-9.317117162
-180,0,1210,-14.82904366,-2.129886208,0,-10.71325739
-180,0,1225,-13.19163629,-4.738251876,0,-11.41414908
-180,0,1240,-12.91210614,-6.624514043,0,-11.84670126
-180,0,1255,-10.47946464,-3.075273039,0,-7.533180041
-180,0,1270,-8.568396872,-1.792069671,0,-3.858835819
-180,0,1285,-8.708316943,-1.636291507,0,-3.676592253
-180,0,1300,-8.541798616,-2.042030202,0,-4.283494899
-180,0,1315,-7.947072637,-4.476023652,0,-6.030683933
-180,0,1330,-8.888086406,-8.807378035,0,-8.275274996
-180,0,1345,-14.46863015,-5.04930561,0,-12.84035945
-180,0,1360,-18.41860444,-2.480000016,0,-14.80412622
-180,0,1375,-11.40851167,-1.784978535,0,-6.685034593
-180,0,1390,-9.460441888,-2.244173859,0,-5.519288719
-180,0,1405,-8.228126305,-5.041360935,0,-6.596236926
-180,0,1420,-9.265251829,-12.61303469,0,-9.02053767
-180,0,1435,-8.905104737,-6.550580344,0,-7.818918586
-180,0,1450,-6.172907355,-3.790651791,0,-3.823870577
-180,0,1465,-3.695054564,-2.793865318,0,-0.456965413
-180,0,1480,-2.113273734,-3.018947396,0,0.888395968
-180,0,1495,-1.506361975,-4.763430705,0,0.258446772
-180,0,1510,-1.629570679,-11.72517678,0,-1.3273746
-180,0,1525,-4.528265886,-8.822793988,0,-3.917785928
-180,0,1540,-11.0729151,-3.888083208,0,-8.792465227
-180,0,1555,-4.579756916,-2.315405876,0,-0.741795886
-180,0,1570,-1.805830895,-2.912412041,0,1.304614302
-180,0,1585,-0.844012786,-6.679962517,0,0.206100794
-180,0,1600,-1.05397829,-18.19131657,0,-0.987609043
-180,0,1615,-2.483640946,-10.98763998,0,-2.123127646
-180,0,1630,-5.857525996,-6.499711808,0,-4.756775742
-180,0,1645,-3.87747529,-4.230632965,0,-1.81874909
-180,0,1660,0.555013774,-6.57046185,0,1.635566993
-180,0,1675,-4.572569095,-7.886678402,0,-3.801487636
