Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Current (A),Channel 2 DC Current (A),Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Current (A),Total DC Gate Current (A),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
2000,12,3,-30.68790042,2.180935466,32.86883589,0.958433564,0,11.50120277,0,0.958433564,0,11.50120277,0,0.014366477,0.014359056
2000,12,3,-29.68790042,3.035000407,32.72290083,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.017476762,0.017467426
2000,12,3,-28.68790042,4.107681834,32.79558225,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.022373252,0.022361499
2000,12,3,-27.68790042,5.057549083,32.7454495,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.027842989,0.027828192
2000,12,3,-26.68790042,6.036156261,32.72405668,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.034880007,0.034861379
2000,12,3,-25.68790042,7.094463908,32.78236433,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.044504849,0.044481397
2000,12,3,-24.68790042,8.031265819,32.71916624,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.055218871,0.055189347
2000,12,3,-23.68790042,9.062134349,32.75003477,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.070012305,0.069975137
2000,12,3,-22.68790042,10.07601985,32.76392027,0.959086579,0,11.50903895,0,0.959086579,0,11.50903895,0,0.088422528,0.088375736
2000,12,3,-21.68790042,11.06638774,32.75428816,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.110995179,0.110936312
2000,12,3,-20.68790042,12.06590327,32.75380369,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.139719065,0.139644955
2000,12,3,-19.68790042,13.00442561,32.69232603,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.173423483,0.173330184
2000,12,3,-18.68790042,14.05447634,32.74237676,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.220857919,0.220740463
2000,12,3,-17.68790042,15.03831156,32.72621198,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.276822318,0.276674551
2000,12,3,-16.68790042,15.99078997,32.67869039,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.344706079,0.34452005
2000,12,3,-15.68790042,17.06085643,32.74875685,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.440717597,0.44048356
2000,12,3,-14.68790042,18.01464137,32.70254179,0.961698638,0,11.54038365,0,0.961698638,0,11.54038365,0,0.548584951,0.548290516
2000,12,3,-13.68790042,19.04812487,32.73602529,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.69550057,0.695130149
2000,12,3,-12.68790042,20.04110583,32.72900625,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.872984624,0.872518924
2000,12,3,-11.68790042,21.03278025,32.72068067,0.964963611,0,11.57956333,0,0.964963611,0,11.57956333,0,1.095433058,1.09484757
2000,12,3,-10.68790042,22.03882655,32.72672697,0.966922655,0,11.60307186,0,0.966922655,0,11.60307186,0,1.378191836,1.377456244
2000,12,3,-9.68790042,23.03050097,32.71840139,0.968881699,0,11.62658039,0,0.968881699,0,11.62658039,0,1.728216305,1.727292122
2000,12,3,-8.68790042,24.04046687,32.72836729,0.972146773,0,11.66576127,0,0.972146773,0,11.66576127,0,2.17336967,2.1722101
2000,12,3,-7.68790042,25.00862368,32.6965241,0.976064861,0,11.71277833,0,0.976064861,0,11.71277833,0,2.705219094,2.703765142
2000,12,3,-6.68790042,26.04080065,32.72870107,0.980635864,0,11.76763037,0,0.980635864,0,11.76763037,0,3.415002667,3.413180782
2000,12,3,-5.68790042,27.04292735,32.73082777,0.986512996,0,11.83815595,0,0.986512996,0,11.83815595,0,4.275714296,4.273434343
2000,12,3,-4.68790042,28.06073436,32.74863478,0.993696058,0,11.92435269,0,0.993696058,0,11.92435269,0,5.365851169,5.363001627
2000,12,3,-3.68790042,29.05632838,32.7442288,1.003491578,0,12.04189894,0,1.003491578,0,12.04189894,0,6.68248296,6.678930616
2000,12,3,-2.68790042,30.06629332,32.75419374,1.014592828,0,12.17511393,0,1.014592828,0,12.17511393,0,8.339812722,8.335389518
2000,12,3,-1.68790042,31.02791747,32.71581789,1.026999107,0,12.32398928,0,1.026999107,0,12.32398928,0,10.28112016,10.27561894
2000,12,3,-0.68790042,31.91245421,32.60035463,1.04136543,0,12.49638516,0,1.04136543,0,12.49638516,0,12.42971064,12.42288057
2000,12,3,0.31209958,32.72643718,32.4143376,1.062914915,0,12.75497898,0,1.062914915,0,12.75497898,0,14.68804418,14.67961995
2000,12,3,1.31209958,33.43328246,32.12118288,1.087076459,0,13.0449175,0,1.087076459,0,13.0449175,0,16.90000795,16.88963819
2000,12,3,2.31209958,33.90233573,31.59023615,1.103401826,0,13.24082191,0,1.103401826,0,13.24082191,0,18.54892001,18.53605841
2000,12,3,3.31209958,34.192391,30.88029142,1.113197046,0,13.35836456,0,1.113197046,0,13.35836456,0,19.65557752,19.6395282
2000,12,3,4.31209958,34.37400206,30.06190248,1.122339252,0,13.46807102,0,1.122339252,0,13.46807102,0,20.32800731,20.307967
2000,12,3,5.31209958,34.49289759,29.18079801,1.129522414,0,13.55426896,0,1.129522414,0,13.55426896,0,20.75934565,20.73427683
